"Symbol","Name","Category1","Category2","Category3","Morningstar Category","Morningstar Rating","Market cap","Current yield","Fees","Action"
"CNGAX","American Funds The New Economy Fund Class 529-A","US Equity","Broad market","Large cap","Large Growth","3","$20,700,000,000","0.00%","0.82%","Analyze"
"CNGCX","American Funds The New Economy Fund Class 529-C","US Equity","Broad market","Large cap","Large Growth","3","$20,700,000,000","0.00%","1.60%","Analyze"
"CNGEX","American Funds The New Economy Fund Class 529-E","US Equity","Broad market","Large cap","Large Growth","3","$20,700,000,000","0.00%","1.06%","Analyze"
"CNGFX","American Funds The New Economy Fund Class 529-F","US Equity","Broad market","Large cap","Large Growth","3","$20,700,000,000","0.00%","0.60%","Analyze"
"FNEFX","American Funds The New Economy Fund Class F-3","US Equity","Broad market","Large cap","Large Growth","3","$20,700,000,000","0.00%","0.46%","Analyze"
"FOCKX","Fidelity OTC Portfolio Class K","US Equity","Broad market","Large cap","Large Growth","5","$20,300,000,000","0.00%","0.78%","Analyze"
"FOCPX","Fidelity OTC Portfolio","US Equity","Broad market","Large cap","Large Growth","5","$20,154,700,000","0.00%","0.88%","Analyze"
"DFLVX","Proxy Error","US Equity","Broad market","Large cap","Large Value","4","$19,600,000,000","0.00%","0.26%","Analyze"
"HLIEX","JPMorgan Equity Income Fund Class I","US Equity","Broad market","Large cap","Large Value","4","$19,137,930,000","0.00%","0.75%","Analyze"
"CDDRX","Columbia Dividend Income Fund Institutional 2 Class","US Equity","Broad market","Large cap","Large Value","5","$18,900,000,000","0.00%","0.63%","Analyze"
"CDDYX","Columbia Dividend Income Fund Institutional 3 Class","US Equity","Broad market","Large cap","Large Value","5","$18,900,000,000","0.00%","0.58%","Analyze"
